x,y,V,t
802.719,785.305,470.233,1.97
806.126,788.546,469.457,1.98
809.528,791.781,468.683,1.99
812.925,795.01,467.912,2
816.317,798.233,467.143,2.01
819.703,801.451,466.376,2.02
823.085,804.663,465.616,2.03
826.462,807.869,464.857,2.04
829.833,811.069,464.1,2.05
833.2,814.264,463.346,2.06
836.561,817.453,462.594,2.07
839.918,820.636,461.845,2.08
843.269,823.813,461.097,2.09
846.616,826.985,460.352,2.1
849.958,830.152,459.609,2.11
853.295,833.312,458.868,2.12
856.626,836.467,458.129,2.13
859.954,839.617,457.393,2.14
863.276,842.76,456.658,2.15
866.593,845.899,455.926,2.16
869.906,849.031,455.196,2.17
873.213,852.159,454.468,2.18
876.516,855.28,453.746,2.19
879.815,858.396,453.025,2.2
883.108,861.507,452.307,2.21
886.397,864.612,451.59,2.22
889.681,867.712,450.876,2.23
892.96,870.807,450.164,2.24
896.234,873.896,449.454,2.25
899.504,876.979,448.746,2.26
902.769,880.058,448.039,2.27
906.03,883.13,447.335,2.28
909.286,886.198,446.633,2.29
912.537,889.26,445.933,2.3
915.784,892.317,445.235,2.31
919.026,895.369,444.539,2.32
922.264,898.415,443.845,2.33
925.497,901.456,443.153,2.34
928.725,904.492,442.466,2.35
931.949,907.522,441.78,2.36
935.168,910.548,441.097,2.37
938.383,913.568,440.416,2.38
941.594,916.583,439.736,2.39
944.8,919.592,439.059,2.4
948.001,922.597,438.383,2.41
951.198,925.596,437.709,2.42
954.391,928.591,437.037,2.43
957.579,931.58,436.367,2.44
960.763,934.564,435.699,2.45
963.942,937.543,435.033,2.46
967.117,940.517,434.368,2.47
970.288,943.486,433.706,2.48
973.455,946.45,433.045,2.49
976.617,949.408,432.386,2.5
979.774,952.362,431.729,2.51
982.928,955.311,431.076,2.52
986.077,958.255,430.425,2.53
989.222,961.193,429.776,2.54
992.362,964.127,429.129,2.55
995.499,967.056,428.484,2.56
998.631,969.98,427.84,2.57
1001.76,972.899,427.198,2.58
1004.88,975.813,426.558,2.59
1008,978.723,425.919,2.6
1011.12,981.627,425.283,2.61
1014.23,984.527,424.648,2.62
1017.34,987.421,424.014,2.63
1020.44,990.311,423.383,2.64
1023.54,993.196,422.753,2.65
1026.63,996.076,422.124,2.66
1029.72,998.952,421.498,2.67
1032.81,1001.82,420.873,2.68
1035.89,1004.69,420.253,2.69
1038.97,1007.55,419.634,2.7
1042.04,1010.41,419.016,2.71
1045.11,1013.26,418.401,2.72
1048.18,1016.1,417.787,2.73
1051.24,1018.95,417.175,2.74
1054.3,1021.78,416.564,2.75
1057.35,1024.62,415.955,2.76
1060.4,1027.44,415.347,2.77
1063.45,1030.27,414.741,2.78
1066.49,1033.09,414.137,2.79
1069.53,1035.9,413.534,2.8
1072.57,1038.71,412.933,2.81
1075.6,1041.52,412.333,2.82
1078.62,1044.32,411.735,2.83
1081.64,1047.11,411.139,2.84
1084.66,1049.9,410.544,2.85
1087.68,1052.69,409.95,2.86
1090.69,1055.47,409.361,2.87
1093.7,1058.25,408.773,2.88
1096.7,1061.02,408.187,2.89
1099.7,1063.79,407.602,2.9
1102.69,1066.55,407.019,2.91
1105.69,1069.31,406.437,2.92
1108.67,1072.07,405.856,2.93
1111.66,1074.82,405.278,2.94
1114.64,1077.57,404.7,2.95
1117.62,1080.31,404.124,2.96
1120.59,1083.04,403.55,2.97
1123.56,1085.78,402.977,2.98
1126.52,1088.51,402.405,2.99
1129.49,1091.23,401.835,3
1132.44,1093.95,401.267,3.01
1135.4,1096.67,400.699,3.02
1138.35,1099.38,400.134,3.03
1141.3,1102.08,399.569,3.04
1144.24,1104.78,399.009,3.05
1147.18,1107.48,398.45,3.06
1150.12,1110.18,397.892,3.07
1153.05,1112.87,397.335,3.08
1155.98,1115.55,396.78,3.09
1158.9,1118.23,396.227,3.1
1161.82,1120.91,395.675,3.11
1164.74,1123.58,395.124,3.12
1167.66,1126.25,394.574,3.13
1170.57,1128.91,394.026,3.14
1173.48,1131.57,393.48,3.15
1176.38,1134.23,392.934,3.16
1179.28,1136.88,392.39,3.17
1182.18,1139.52,391.847,3.18
1185.07,1142.17,391.306,3.19
1187.96,1144.8,390.766,3.2
1190.85,1147.44,390.227,3.21
1193.73,1150.07,389.69,3.22
1196.61,1152.69,389.156,3.23
1199.48,1155.32,388.623,3.24
1202.36,1157.93,388.092,3.25
1205.23,1160.55,387.562,3.26
1208.09,1163.16,387.033,3.27
1210.95,1165.76,386.506,3.28
1213.81,1168.36,385.98,3.29
1216.67,1170.96,385.455,3.3
1219.52,1173.55,384.931,3.31
1222.37,1176.14,384.409,3.32
1225.21,1178.73,383.888,3.33
1228.05,1181.31,383.368,3.34
1230.89,1183.89,382.849,3.35
1233.73,1186.46,382.332,3.36
1236.56,1189.03,381.816,3.37
1239.39,1191.59,381.301,3.38
1242.21,1194.15,380.787,3.39
1245.03,1196.71,380.275,3.4
1247.85,1199.26,379.764,3.41
1250.67,1201.81,379.254,3.42
1253.48,1204.36,378.747,3.43
1256.29,1206.9,378.241,3.44
1259.09,1209.44,377.737,3.45
1261.9,1211.97,377.234,3.46
1264.69,1214.5,376.732,3.47
1267.49,1217.02,376.231,3.48
1270.28,1219.55,375.732,3.49
1273.07,1222.06,375.233,3.5
1275.86,1224.58,374.736,3.51
1278.64,1227.09,374.24,3.52
1281.42,1229.59,373.745,3.53
1284.2,1232.09,373.251,3.54
1286.97,1234.59,372.759,3.55
1289.74,1237.09,372.267,3.56
1292.51,1239.58,371.777,3.57
1295.27,1242.06,371.288,3.58
1298.03,1244.55,370.799,3.59
1300.79,1247.03,370.313,3.6
1303.54,1249.5,369.827,3.61
1306.29,1251.97,369.342,3.62
1309.04,1254.44,368.86,3.63
1311.79,1256.91,368.38,3.64
1314.53,1259.37,367.901,3.65
1317.27,1261.82,367.422,3.66
1320,1264.28,366.945,3.67
1322.73,1266.72,366.469,3.68
1325.46,1269.17,365.994,3.69
1328.19,1271.61,365.52,3.7
1330.91,1274.05,365.047,3.71
1333.63,1276.48,364.575,3.72
1336.35,1278.91,364.104,3.73
1339.07,1281.34,363.635,3.74
1341.78,1283.76,363.166,3.75
1344.48,1286.18,362.699,3.76
1347.19,1288.6,362.232,3.77
1349.89,1291.01,361.767,3.78
1352.59,1293.42,361.302,3.79
1355.29,1295.83,360.839,3.8
1357.98,1298.23,360.376,3.81
1360.67,1300.62,359.915,3.82
1363.36,1303.02,359.457,3.83
1366.04,1305.41,358.999,3.84
1368.72,1307.8,358.543,3.85
1371.4,1310.18,358.088,3.86
1374.08,1312.56,357.633,3.87
1376.75,1314.94,357.18,3.88
1379.42,1317.31,356.728,3.89
1382.09,1319.68,356.276,3.9
1384.75,1322.04,355.826,3.91
1387.41,1324.4,355.377,3.92
1390.07,1326.76,354.928,3.93
1392.73,1329.12,354.481,3.94
1395.38,1331.47,354.035,3.95
1398.03,1333.82,353.589,3.96
1400.68,1336.16,353.145,3.97
1403.32,1338.5,352.701,3.98
1405.96,1340.84,352.259,3.99
1408.6,1343.17,351.817,4
1411.24,1345.5,351.377,4.01
1413.87,1347.83,350.937,4.02
1416.5,1350.15,350.498,4.03
1419.13,1352.48,350.062,4.04
1421.75,1354.79,349.627,4.05
1424.37,1357.1,349.193,4.06
1426.99,1359.41,348.76,4.07
1429.61,1361.72,348.328,4.08
1432.22,1364.02,347.897,4.09
1434.83,1366.32,347.467,4.1
1437.44,1368.62,347.037,4.11
1440.04,1370.91,346.609,4.12
1442.65,1373.2,346.181,4.13
1445.25,1375.49,345.755,4.14
1447.84,1377.77,345.329,4.15
1450.44,1380.05,344.904,4.16
1453.03,1382.33,344.48,4.17
1455.62,1384.6,344.057,4.18
1458.2,1386.87,343.635,4.19
1460.79,1389.13,343.214,4.2
1463.37,1391.4,342.793,4.21
1465.95,1393.66,342.374,4.22
1468.52,1395.91,341.955,4.23
1471.1,1398.16,341.537,4.24
1473.67,1400.41,341.121,4.25
1476.23,1402.66,340.706,4.26
1478.8,1404.9,340.293,4.27
1481.36,1407.14,339.881,4.28
1483.92,1409.38,339.469,4.29
1486.48,1411.61,339.058,4.3
1489.03,1413.84,338.648,4.31
1491.58,1416.07,338.239,4.32
1494.13,1418.29,337.831,4.33
1496.68,1420.51,337.424,4.34
1499.22,1422.73,337.017,4.35
1501.76,1424.94,336.611,4.36
1504.3,1427.15,336.206,4.37
1506.84,1429.36,335.802,4.38
1509.37,1431.56,335.399,4.39
1511.9,1433.76,334.997,4.4
1514.43,1435.96,334.595,4.41
1516.96,1438.15,334.195,4.42
1519.48,1440.34,333.795,4.43
1522,1442.53,333.396,4.44
1524.52,1444.72,332.997,4.45
1527.04,1446.9,332.6,4.46
1529.55,1449.08,332.203,4.47
1532.06,1451.25,331.808,4.48
